1985,"$3,600,000",
1986,"$4,233,000",
1987,"$4,945,000",
1988,"$6,164,000",
1989,"$7,232,000",
1990,"$9,802,000",
1991,"$11,871,000",
1992,"$12,500,000",
1993,"$14,000,000",
1994,"$15,175,000",
1995,"$15,964,000",
1996,"$23,000,000",
1997,"$24,363,000",
1998,"$26,900,000",
1999,"$30,000,000",
2000,"$34,000,000",
2001,"$35,500,000",
2002,"$42,500,000",
2003,"$40,271,000",
2004,"$43,840,000",
2005,"$43,870,000",
2006,"$49,500,000",
2007,"$53,135,000",
2008,"$55,630,000",
2009,"$58,680,000",
2010,"$57,700,000",
2011,"$58,044,000",
2012,"$58,044,000",
2013,"$58,044,000",
2014,"$58,679,000",
2015,"$63,065,000",
2016,"$70,000,000",